Region_id,Region_code,Region_name,Vote_Pro_Brexit,Vote_Anti_Brexit,Percent_Pro_Brexit,Percent_Anti_Brexit
1,E12000004,East Midlands,1475479,1033036,0.588188231,0.411811769
2,E12000005,West Midlands,1755687,1207175,0.592564554,0.407435446
3,E12000006,East,1880367,1448616,0.564847282,0.435152718
4,E12000003,Yorkshire and The Humber,1580937,1158298,0.577145444,0.422854556
5,E12000007,London,1513232,2263519,0.400670312,0.599329688
6,E12000001,North East,778103,562595,0.580371568,0.419628432
7,E12000002,North West,1966925,1699020,0.536539692,0.463460308
8,E12000009,South West,1669711,1503019,0.52626949,0.47373051
9,E12000008,South East,2567965,2391718,0.51776797,0.48223203
10,N92000002,Northern Ireland,349442,440707,0.442248234,0.557751766
11,W92000004,Wales,854572,772347,0.525270158,0.474729842
12,S92000003,Scotland,1018322,1661191,0.380039955,0.619960045
