const_code,region_code,percent_leave,percent_remain
E14000582,E12000004,0.756498714,0.243501286
E14001011,E12000005,0.712016956,0.287983044
E14000642,E12000006,0.730439705,0.269560295
E14000933,E12000006,0.729955717,0.270044283
E14000771,E12000003,0.72831563,0.27168437
E14000622,E12000006,0.726993924,0.273006076
E14000973,E12000005,0.721235856,0.278764144
E14000669,E12000003,0.716506861,0.283493139
E14000717,E12000006,0.715049473,0.284950527
E14000716,E12000003,0.691596538,0.308403462
E14000671,E12000005,0.698443696,0.301556304
E14000974,E12000005,0.711074062,0.288925938
E14000939,E12000004,0.710714432,0.289285568
E14000542,E12000003,0.709849935,0.290150065
E14000810,E12000004,0.708629135,0.291370865
E14000535,E12000004,0.704728888,0.295271112
E14000672,E12000005,0.697019287,0.302980713
E14000577,E12000004,0.703942464,0.296057536
E14000657,E12000007,0.703479569,0.296520431
E14001028,E12000003,0.702792954,0.297207046
E14000995,E12000006,0.702553097,0.297446903
E14000733,E12000001,0.695683297,0.304316703
E14000643,E12000003,0.69503821,0.30496179
E14000751,E12000007,0.697768435,0.302231565
E14000842,E12000006,0.693543227,0.306456773
E14000900,E12000007,0.67437958,0.32562042
E14000836,E12000003,0.703466954,0.296533046
E14000798,E12000004,0.6889943,0.3110057
E14000618,E12000005,0.688603531,0.311396469
E14000914,E12000003,0.686755472,0.313244528
E14001030,E12000005,0.686708936,0.313291064
E14000667,E12000003,0.684864372,0.315135628
E14000904,E12000003,0.687519276,0.312480724
E14000546,E12000004,0.68322755,0.31677245
E14000541,E12000003,0.681881304,0.318118696
E14001029,E12000005,0.681750179,0.318249821
E14001050,E12000005,0.677187451,0.322812549
E14000740,E12000003,0.673504994,0.326495006
E14000773,E12000003,0.679906801,0.320093199
E14000573,E12000002,0.678141246,0.321858754
E14000531,E12000005,0.687227548,0.312772452
E14000854,E12000005,0.6776303,0.3223697
E14000729,E12000006,0.677323179,0.322676821
E14001049,E12000005,0.675027384,0.324972616
E14000891,E12000001,0.676748838,0.323251162
E14000888,E12000006,0.676526737,0.323473263
E14000544,E12000006,0.671358773,0.328641227
E14000572,E12000002,0.669103424,0.330896576
E14000903,E12000003,0.665069873,0.334930127
E14000668,E12000003,0.667048397,0.332951603
E14000952,E12000006,0.666739569,0.333260431
E14000609,E12000002,0.66612799,0.33387201
E14000722,E12000005,0.66589868,0.33410132
E14000879,E12000009,0.684779599,0.315220401
E14000970,E12000001,0.663249694,0.336750306
E14000920,E12000003,0.663178181,0.336821819
E14000596,E12000003,0.662269169,0.337730831
E14000989,E12000005,0.66191034,0.33808966
E14000819,E12000001,0.644781963,0.355218037
E14000986,E12000005,0.659923587,0.340076413
E14000677,E12000001,0.659633748,0.340366252
E14000758,E12000002,0.658191278,0.341808722
E14000859,E12000006,0.657782861,0.342217139
E14000606,E12000006,0.655347732,0.344652268
E14000715,E12000008,0.653772079,0.346227921
E14000927,E12000008,0.653644888,0.346355112
E14000533,E12000004,0.652991247,0.347008753
E14000820,E12000001,0.652655298,0.347344702
E14000558,E12000007,0.652551375,0.347448625
E14000945,E12000005,0.654869083,0.345130917
E14000852,E12000008,0.651825616,0.348174384
E14000805,E12000002,0.649100879,0.350899121
E14000972,E12000005,0.648466478,0.351533522
E14000610,E12000005,0.647931575,0.352068425
E14000576,E12000008,0.64792305,0.35207695
E14000966,E12000005,0.646904325,0.353095675
E14000868,E12000005,0.645059931,0.354940069
E14000961,E12000009,0.640636337,0.359363663
E14000659,E12000008,0.639834539,0.360165461
E14000626,E12000008,0.639053918,0.360946082
E14000866,E12000004,0.632790864,0.367209136
E14000883,E12000008,0.651649899,0.348350101
E14000898,E12000008,0.633762207,0.366237793
E14000976,E12000005,0.647422162,0.352577838
E14000683,E12000003,0.636621847,0.363378153
E14000924,E12000004,0.636577392,0.363422608
E14000711,E12000008,0.642481924,0.357518076
E14000588,E12000003,0.635601056,0.364398944
E14001022,E12000006,0.63414219,0.36585781
E14000785,E12000002,0.632878009,0.367121991
E14001034,E12000006,0.632487003,0.367512997
E14000695,E12000004,0.632237912,0.367762088
E14000875,E12000002,0.631542958,0.368457042
E14001058,E12000005,0.631454747,0.368545253
E14000579,E12000002,0.630276743,0.369723257
E14001025,E12000004,0.630196654,0.369803346
E14000670,E12000008,0.630096124,0.369903876
E14000561,E12000005,0.584800591,0.415199409
E14001039,E12000002,0.629588907,0.370411093
E14001009,E12000003,0.625570131,0.374429869
E14000878,E12000006,0.626801331,0.373198669
E14000736,E12000008,0.62617908,0.37382092
E14000999,E12000009,0.62453668,0.37546332
E14000754,E12000001,0.645045283,0.354954717
E14000869,E12000007,0.624304876,0.375695124
E14000747,E12000002,0.619602188,0.380397812
N06000012,N92000002,0.62224457,0.37775543
E14000595,E12000009,0.620639832,0.379360168
E14000944,E12000001,0.626565354,0.373434646
E14000843,E12000004,0.620516723,0.379483277
W07000072,W92000004,0.620280444,0.379719556
E14000707,E12000004,0.619558242,0.380441758
E14000762,E12000008,0.619463341,0.380536659
E14001020,E12000001,0.645268387,0.354731613
E14000713,E12000008,0.618151926,0.381848074
E14000537,E12000002,0.634056838,0.365943162
E14000565,E12000005,0.593187708,0.406812292
W07000048,W92000004,0.617925537,0.382074463
E14000765,E12000001,0.617773494,0.382226506
E14000948,E12000008,0.61691047,0.38308953
E14000834,E12000005,0.616449863,0.383550137
E14000704,E12000008,0.616404102,0.383595898
E14001012,E12000005,0.63400573,0.36599427
E14001016,E12000005,0.616275351,0.383724649
E14000929,E12000004,0.615831667,0.384168333
E14000590,E12000006,0.615156402,0.384843598
E14000778,E12000003,0.61444348,0.38555652
E14000663,E12000004,0.613534511,0.386465489
E14000913,E12000003,0.6131829,0.3868171
E14000871,E12000002,0.623077976,0.376922024
E14000594,E12000006,0.611892869,0.388107131
E14000693,E12000006,0.610112858,0.389887142
E14001053,E12000002,0.61010184,0.38989816
E14000714,E12000004,0.609959141,0.390040859
E14000892,E12000005,0.609899582,0.390100418
E14000769,E12000004,0.609883689,0.390116311
E14000661,E12000002,0.614019738,0.385980262
E14000806,E12000006,0.609560321,0.390439679
E14000899,E12000006,0.609203445,0.390796555
E14000569,E12000001,0.608859751,0.391140249
E14000583,E12000004,0.608293639,0.391706361
W07000053,W92000004,0.607752165,0.392247835
E14000858,E12000004,0.606984777,0.393015223
E14000876,E12000003,0.606512766,0.393487234
